email,categoria,identificat_raspuns,raspuns_propus
Am nevoie de un consultant pentru investiții.,investitii,da,"Bună ziua! Pentru detalii despre investiții, vă recomandăm o întâlnire cu unul dintre experții noștri."
Nu pot face plăți cu cardul. Aș dori mai multe informații,plati_refuzate,da,"Bună ziua! Verificați dacă aveți suficiente fonduri și dacă cardul este activ. Pentru mai multe informații, contactați-ne."
Nu pot adăuga un cont nou. Am întâmpinat o problemă,cont_nou,da,Bună ziua! Puteți deschide un cont nou direct din aplicație sau vizitând una dintre sucursalele noastre.
Am introdus PIN-ul greșit și mi s-a blocat cardul.,card_blocat,da,"Bună ziua! Pentru deblocarea cardului, vă rugăm să sunați la serviciul clienți la numărul 0800-123-456 sau să vizitați cea mai apropiată sucursală."
Pot deschide un cont din străinătate?,cont_nou,da,Bună ziua! Puteți deschide un cont nou direct din aplicație sau vizitând una dintre sucursalele noastre.
"Am bani în cont dar nu pot plăti. Am încercat deja, dar fără rezultat",plati_refuzate,da,"Bună ziua! Verificați dacă aveți suficiente fonduri și dacă cardul este activ. Pentru mai multe informații, contactați-ne."
Cardul meu nu este acceptat la POS. Cum pot rezolva această situație?,card_blocat,da,"Bună ziua! Pentru deblocarea cardului, vă rugăm să sunați la serviciul clienți la numărul 0800-123-456 sau să vizitați cea mai apropiată sucursală."
Ce riscuri implică investițiile? Ce pași trebuie să urmez?,investitii,da,"Bună ziua! Pentru detalii despre investiții, vă recomandăm o întâlnire cu unul dintre experții noștri."
Cum pot investi în fonduri mutuale? Am întâmpinat o problemă,investitii,da,"Bună ziua! Pentru detalii despre investiții, vă recomandăm o întâlnire cu unul dintre experții noștri."
Ce documente sunt necesare pentru un cont nou? Cum pot rezolva această situație?,cont_nou,da,Bună ziua! Puteți deschide un cont nou direct din aplicație sau vizitând una dintre sucursalele noastre.
Plata online a fost refuzată. Mi s-a spus să contactez suportul,plati_refuzate,da,"Bună ziua! Verificați dacă aveți suficiente fonduri și dacă cardul este activ. Pentru mai multe informații, contactați-ne."
Cum pot cumpăra criptomonede? Vă rog să mă ajutați,necunoscut,nu,Răspunsul nu este disponibil.
Plata online a fost refuzată. Ce pași trebuie să urmez?,plati_refuzate,da,"Bună ziua! Verificați dacă aveți suficiente fonduri și dacă cardul este activ. Pentru mai multe informații, contactați-ne."
Care sunt condițiile pentru un credit de nevoi personale? Nu funcționează corect,credite,da,Bună ziua! Informații despre credite găsiți pe site-ul nostru sau contactând un consultant financiar.
Am nevoie de un consultant pentru investiții. Nu funcționează corect,investitii,da,"Bună ziua! Pentru detalii despre investiții, vă recomandăm o întâlnire cu unul dintre experții noștri."
"Mi-a fost blocat cardul, ce pot face? Vă rog să mă ajutați",card_blocat,da,"Bună ziua! Pentru deblocarea cardului, vă rugăm să sunați la serviciul clienți la numărul 0800-123-456 sau să vizitați cea mai apropiată sucursală."
Ce documente sunt necesare pentru un cont nou? Am întâmpinat o problemă,cont_nou,da,Bună ziua! Puteți deschide un cont nou direct din aplicație sau vizitând una dintre sucursalele noastre.
Nu pot face plăți cu cardul. Mi s-a spus să contactez suportul,plati_refuzate,da,"Bună ziua! Verificați dacă aveți suficiente fonduri și dacă cardul este activ. Pentru mai multe informații, contactați-ne."
Ce înseamnă IBAN? Aș dori mai multe informații,necunoscut,nu,Răspunsul nu este disponibil.
Care sunt condițiile pentru un credit de nevoi personale? Vă rog să mă ajutați,credite,da,Bună ziua! Informații despre credite găsiți pe site-ul nostru sau contactând un consultant financiar.
"Cum pot aplica pentru un credit ipotecar? Am încercat deja, dar fără rezultat",credite,da,Bună ziua! Informații despre credite găsiți pe site-ul nostru sau contactând un consultant financiar.
Care sunt condițiile pentru un credit de nevoi personale? Am întâmpinat o problemă,credite,da,Bună ziua! Informații despre credite găsiți pe site-ul nostru sau contactând un consultant financiar.
Vreau să îmi fac un cont de economii. Mi s-a spus să contactez suportul,cont_nou,da,Bună ziua! Puteți deschide un cont nou direct din aplicație sau vizitând una dintre sucursalele noastre.
Am pierdut cardul și e blocat.,card_blocat,da,"Bună ziua! Pentru deblocarea cardului, vă rugăm să sunați la serviciul clienți la numărul 0800-123-456 sau să vizitați cea mai apropiată sucursală."
ATM-ul mi-a reținut cardul. Aș dori mai multe informații,card_blocat,da,"Bună ziua! Pentru deblocarea cardului, vă rugăm să sunați la serviciul clienți la numărul 0800-123-456 sau să vizitați cea mai apropiată sucursală."
Vindeți asigurări de viață? Aș dori mai multe informații,necunoscut,nu,Răspunsul nu este disponibil.
Cât durează deschiderea unui cont? Vă rog să mă ajutați,cont_nou,da,Bună ziua! Puteți deschide un cont nou direct din aplicație sau vizitând una dintre sucursalele noastre.
Am bani în cont dar nu pot plăti.,plati_refuzate,da,"Bună ziua! Verificați dacă aveți suficiente fonduri și dacă cardul este activ. Pentru mai multe informații, contactați-ne."
"Plata contactless nu merge. Am încercat deja, dar fără rezultat",plati_refuzate,da,"Bună ziua! Verificați dacă aveți suficiente fonduri și dacă cardul este activ. Pentru mai multe informații, contactați-ne."
